Source,Target
0,1
1,1
1,2
2,1
1,5
5,2
2,2
5,1
1,14
14,1
1,15
15,2
2,5
5,4
4,1
1,4
1,51
51,1
2,14
1,6
6,1
4,2
1,52
52,2
2,13
13,2
1,13
13,1
2,4
4,267
267,1
1,50
50,1
2,3
3,4
52,15
15,1
1,12
12,1
1,10
10,1
3,2
4,4
2,6
6,3
6,4
4,3
4,6
4,8
8,4
3,6
4,5
6,6
2,9
9,4
6,8
8,8
8,3
3,8
4,7
7,4
4,10
10,6
5,8
8,6
4,9
9,8
4,12
12,8
0,0
6,2
2,8
8,2
9,2
2,10
10,3
2,12
12,2
6,7
10,5
12,4
6,9
3,3
5,5
5,6
7,7
7,8
8,9
9,9
9,10
10,10
10,11
11,11
11,12
12,12
12,13
13,13
13,14
14,14
14,15
15,15
15,16
16,16
16,17
17,17
17,18
18,18
1,0
8,11
12,15
16,19
19,22
22,25
25,28
28,31
31,34
34,40
40,43
43,49
49,52
52,58
58,64
64,70
70,76
76,82
82,88
88,98
98,104
104,114
114,120
120,130
130,140
140,150
150,160
160,170
170,180
180,195
195,205
205,220
220,230
230,245
245,260
260,275
275,290
290,305
305,320
320,341
341,356
356,377
377,392
392,413
413,434
434,455
455,476
476,497
497,518
518,546
8,10
10,12
15,18
18,22
22,27
27,32
32,38
38,46
46,54
54,64
64,76
76,89
89,104
104,122
122,142
142,165
165,192
192,222
222,256
256,296
296,340
340,390
390,448
448,512
512,585
585,668
668,760
760,864
864,982
982,1113
1113,1260
1260,1426
1426,1610
1610,1816
1816,2048
2048,2304
2304,2590
2590,2910
2910,3264
3264,3658
3658,4097
4097,4582
4582,5120
5120,5718
5718,6378
10,4
12,6
8,16
16,6
6,18
18,8
8,12
12,10
10,22
22,8
8,20
20,12
12,18
18,12
12,28
28,8
8,30
30,16
16,20
20,16
16,24
24,12
12,36
36,18
18,24
24,16
16,40
40,12
12,42
42,20
20,24
24,22
22,46
46,16
16,42
20,32
32,24
24,52
52,18
18,40
40,24
24,36
36,28
28,58
58,16
16,60
60,30
30,36
36,32
32,48
48,20
20,66
66,32
32,44
9,18
18,23
23,44
44,63
63,122
122,190
190,362
362,612
612,1162
1162,2056
2056,3914
3914,7155
7155,13648
13648,25482
25482,48734
48734,92205
92205,176906
176906,337594
337594,649532
649532,1246863
1246863,2405236
2405236,4636390
4636390,8964800
8964800,17334801
17334801,33588234
33588234,65108062
65108062,126390032
126390032,245492244
245492244,477353376
477353376,928772650
928772650,1808676326
1808676326,3524337980
10,20
20,30
30,56
56,94
94,180
180,316
316,596
596,1096
1096,2068
2068,3856
3856,7316
7316,13798
13798,26272
26272,49940
49940,95420
95420,182362
182362,349716
349716,671092
671092,1290872
1290872,2485534
2485534,4794088
4794088,9256396
9256396,17896832
17896832,34636834
34636834,67110932
67110932,130150588
130150588,252648992
252648992,490853416
490853416,954444608
954444608,1857283156
1857283156,3616828364
5,10
10,14
14,26
26,42
42,78
78,132
132,249
249,445
445,842
842,1561
1561,2988
2988,5671
5671,10981
10981,21209
21209,41472
41472,81181
81181,160176
160176,316749
316749,629933
629933,1256070
1256070,2515169
2515169,5049816
5049816,10172638
10172638,20543579
20543579,41602425
41602425,84440886
84440886,171794492
171794492,350238175
350238175,715497037
715497037,1464407113
5,7
9,11
11,13
13,16
17,19
19,19
19,23
23,23
23,25
25,25
25,27
27,27
27,29
29,29
29,31
31,31
31,32
32,37
37,37
37,41
41,41
41,43
43,43
43,47
47,47
47,49
49,49
49,53
53,53
53,59
59,59
59,61
61,61
61,64
64,64
64,67
67,67
67,71
71,71
71,73
6,10
10,16
16,30
30,52
52,94
94,172
172,316
316,586
586,1096
1096,2048
2048,3856
3856,7286
7286,13798
13798,26216
26216,49940
49940,95326
95326,182362
182362,349536
349536,671092
671092,1290556
1290556,2485534
2485534,4793492
4793492,9256396
9256396,17895736
17895736,34636834
34636834,67108864
67108864,130150588
130150588,252645136
252645136,490853416
0,2
4,16
16,12
12,48
48,80
80,136
136,420
420,1240
1240,2872
2872,7652
7652,18104
18104,50184
8,13
13,25
25,44
44,83
83,152
152,286
286,538
538,1020
1020,1942
1942,3725
3725,7145
7145,13781
13781,26627
26627,51572
51572,100099
100099,194633
194633,379037
379037,739250
739250,1443573
1443573,2822186
2822186,5522889
5522889,10818417
10818417,21209278
21209278,41613288
41613288,81705516
81705516,160532194
160532194,315604479
315604479,620834222
620834222,1221918604
1221918604,2406183020
2406183020,4740461247
7,11
11,9
6,22
22,10
7,5
5,28
28,7
7,15
15,14
14,8
12,7
22,11
11,4
4,40
40,9
9,5
9,14
14,4
8,74
74,13
13,7
7,10
10,7
7,2
16,4
4,155
155,10
10,2
18,16
16,48
48,60
60,176
176,144
144,630
630,756
756,1800
1800,2048
2048,7710
7710,7776
7776,27594
27594,24000
24000,84672
84672,120032
120032,356960
356960,276480
276480,1296000
1296000,1719900
1719900,4202496
4202496,4741632
4741632,18407808
18407808,17820000
17820000,69273666
69273666,67108864
67108864,211016256
211016256,336849900
336849900,929275200
929275200,725594112
725594112,3697909056
9,17
17,30
30,54
54,98
98,183
183,341
341,645
645,1220
1220,2327
2327,4451
4451,8555
8555,16489
16489,31859
31859,61717
61717,119779
119779,232919
232919,453584
453584,884544
884544,1727213
1727213,3376505
3376505,6607371
6607371,12942012
12942012,25371540
25371540,49777187
49777187,97731027
97731027,192010355
192010355,377475336
377475336,742512992
742512992,1461352025
1461352025,2877572478
2877572478,5668965407
9,20
20,37
37,86
86,181
181,422
422,943
943,2223
2223,5225
5225,12613
12613,30513
30513,74883
74883,184484
184484,458561
458561,1145406
1145406,2879870
2879870,7274983
7274983,18471060
18471060,47089144
47089144,120528657
120528657,309576725
309576725,797790928
797790928,2062142876
2062142876,5345531935
5345531935,13893615154
13893615154,36201693122
1,-1
-1,2
2,-2
-2,8
8,112
112,656
656,5504
5504,49024
49024,491264
491264,5401856
5401856,64826368
64826368,842734592
842734592,11798300672
11798300672,176974477312
176974477312,2831591702528
2831591702528,48137058811904
48137058811904,866467058876416
866467058876416,16462874118127616
16462874118127616,329257482363600896
329257482363600896,6914407129633521664
6914407129633521664,152116956851941670912
2,7
20,36
36,65
65,118
118,221
221,409
409,776
776,1463
1463,2788
2788,5328
5328,10222
10222,19714
19714,38054
38054,73685
73685,142944
142944,277838
277838,540889
540889,1054535
1054535,2058537
2058537,4023278
4023278,7871313
7871313,15414638
15414638,30213190
30213190,59266422
59266422,116343776
116343776,228545682
228545682,449240740
