Source,Target
1,1
1,3
3,14
14,77
77,475
475,3188
3188,22004
22004,156230
156230,1126536
1126536,8226592
8226592,60653744
1,2
2,10
10,60
60,408
408,2992
2992,22880
22880,178880
178880,1414528
1414528,11250432
11250432,89740800
89740800,716876800
716876800,5730818048
5730818048,45829763072
45829763072,366570987520
366570987520,2932299448320
2932299448320,23457321811968
23457321811968,187654279462912
187654279462912,1501217055703040
1501217055703040,12009667725885440
12009667725885440,96077066928652288
96077066928652288,768615435916541952
768615435916541952,6148919089283727360
2,1228
1228,14089656148992
14089656148992,50346839734076286938886836265405905350164480
7,307
307,491
491,441953
441953,26349353
26349353,55419011
55419011,2519515811
2519515811,150952678787
3,10
10,36
36,143
143,618
618,2836
2836,13565
13565,66839
66839,336779
336779,1726888
1726888,8980997
8980997,47256275
47256275,251109662
251109662,1345585434
1345585434,7262855090
7262855090,39450419229
39450419229,215484555365
215484555365,1182847628142
1182847628142,6521704585396
6521704585396,36101014071891
36101014071891,200557059579272
200557059579272,1117825303788580
1117825303788580,6248896332099798
6248896332099798,35028191371684041
3,11
11,42
42,171
171,751
751,3509
3509,17135
17135,86331
86331,445161
445161,2337097
2337097,12448148
12448148,67095277
67095277,365264609
365264609,2005444499
2005444499,11091616038
11091616038,61738014131
61738014131,345581890401
345581890401,1944078165249
1944078165249,10985238037766
10985238037766,62322123340849
62322123340849,354849796233957
354849796233957,2027085961125183
2027085961125183,11614483110130587
11614483110130587,66729581614802773
11,41
41,165
165,723
723,3375
3375,16449
16449,82649
82649,424835
424835,2222883
2222883,11798473
11798473,63366397
63366397,343713747
343713747,1880205639
1880205639,10360542657
10360542657,57454474353
57454474353,320404298499
320404298499,1795690064379
1795690064379,10108639028649
10108639028649,57133012848021
57133012848021,324076753969107
324076753969107,1844298457007775
1844298457007775,10527186921509505
10527186921509505,60253500894378441
0,2
2,6
6,14
14,25
25,37
37,55
55,71
71,106
106,137
137,170
170,219
219,251
251,282
282,342
342,416
416,473
473,531
531,607
607,656
656,721
721,810
810,899
899,1033
1033,1163
1163,1228
1228,1290
1290,1353
1353,1424
1424,1631
1631,1869
1869,2001
2001,2105
2105,2270
2270,2453
2453,2574
2574,2752
2752,2914
2914,3077
3077,3267
3267,3404
3404,3619
3619,3832
3832,3941
3941,4050
4050,4311
4311,4770
4770,5104
5104,5231
5231,5352
5352,5560
5560,5743
12,18
18,36
36,48
48,56
56,60
60,75
75,80
80,84
84,90
90,98
98,120
120,126
126,132
132,150
150,156
156,192
192,198
198,204
204,228
228,234
234,252
252,276
276,280
280,300
300,306
306,342
342,348
348,351
351,360
360,372
372,396
396,414
414,420
420,444
444,448
448,450
450,468
468,484
484,492
492,516
516,522
522,525
525,528
528,558
558,564
564,594
594,612
612,616
616,624
624,630
630,636
636,660
660,666
666,684
2,7
7,34
34,199
199,1308
1308,9300
9300,69978
69978,549559
2,12
12,60
60,450
450,3960
3960,40320
40320,470400
470400,6161400
6161400,89737200
89737200,1433678400
1433678400,24985144800
24985144800,470929258800
470929258800,9552934591200
9552934591200,207416225016000
207416225016000,4800763199232000
4800763199232000,117985032861696000
117985032861696000,3068809378322688000
3068809378322688000,84220901965565164800
84220901965565164800,2432308571799698592000
2432308571799698592000,73740283173518978016000
0,0
0,1082
1082,418747538
2,3
3,8
8,5
5,6
6,7
7,64
64,27
27,10
10,11
11,72
72,13
13,14
14,15
15,1024
1024,17
17,1296
1296,19
19,200
200,21
21,22
22,23
23,31104
31104,125
125,26
26,729
729,392
392,29
29,30
30,31
31,32768
32768,33
33,34
34,35
35,1119744
1119744,37
37,38
38,39
39,8000
8000,41
41,42
42,43
43,968
968,675
675,46
46,47
47,53747712
53747712,343
343,400000
400000,51
51,1352
1352,53
53,2902376448
2902376448,55
55,21952
3,4
4,5
7,8
8,9
9,10
11,13
15,16
16,17
17,19
19,21
23,25
25,26
26,27
27,29
31,32
32,33
35,36
36,37
39,41
43,46
47,49
49,51
51,53
53,55
55,57
57,58
58,59
59,61
61,62
62,64
64,65
65,66
66,67
67,69
69,70
70,71
71,72
72,73
73,74
74,77
77,78
78,79
79,81
81,82
82,83
83,85
85,86
86,87
87,89
0,429
429,25265
25265,623790
623790,9358566
9358566,98860386
98860386,800447256
800447256,5250109500
5250109500,28994884050
28994884050,138706996527
138706996527,587290512237
587290512237,2238235897898
2238235897898,7782608356380
7782608356380,24963634402980
24963634402980,74548361396808
74548361396808,208866611491128
208866611491128,552653261713980
552653261713980,1388791931898705
1388791931898705,3330728772079905
3330728772079905,7655993385935334
7655993385935334,16929219841090634
3,7
7,21
21,72
72,261
261,974
974,3705
3705,14306
14306,55937
55937,221091
221091,882107
882107,3548448
3548448,14377763
14377763,58629311
58629311,240435653
240435653,991013194
991013194,4103273977
4103273977,17059167453
17059167453,71185826063
71185826063,298051854208
298051854208,1251772703567
1251772703567,5272090327112
5272090327112,22262068842095
22262068842095,94229389184598
94229389184598,399731071346335
399731071346335,1699185944920853
7,28
28,34
35,66
66,74
74,84
84,116
116,125
3,5
5,11
11,11
41,10267
10267,832361
